Rider_name,Rider_number,Team,Leader,GC_at_start_of_the_stage,GC_Total_riding_time,GC_Gap_at_start_of_stage,Finish_Time,km171_Group,km171_Position,km171_Elapsed_time,km171_Gap_to_previous_group,km171_Average_speed,km171_Current_speed,km171_Gradient,km171_GC_prov_position,km171_GC_prov_delay,km171_GC_riding_time,km170_Group,km170_Position,km170_Elapsed_time,km170_Gap_to_previous_group,km170_Average_speed,km170_Current_speed,km170_Gradient,km170_GC_prov_position,km170_GC_prov_delay,km170_GC_riding_time,km160_Group,km160_Position,km160_Elapsed_time,km160_Gap_to_previous_group,km160_Average_speed,km160_Current_speed,km160_Gradient,km160_GC_prov_position,km160_GC_prov_delay,km160_GC_riding_time,km150_Group,km150_Position,km150_Elapsed_time,km150_Gap_to_previous_group,km150_Average_speed,km150_Current_speed,km150_Gradient,km150_GC_prov_position,km150_GC_prov_delay,km150_GC_riding_time,km140_Group,km140_Position,km140_Elapsed_time,km140_Gap_to_previous_group,km140_Average_speed,km140_Current_speed,km140_Gradient,km140_GC_prov_position,km140_GC_prov_delay,km140_GC_riding_time,km130_Group,km130_Position,km130_Elapsed_time,km130_Gap_to_previous_group,km130_Average_speed,km130_Current_speed,km130_Gradient,km130_GC_prov_position,km130_GC_prov_delay,km130_GC_riding_time,km120_Group,km120_Position,km120_Elapsed_time,km120_Gap_to_previous_group,km120_Average_speed,km120_Current_speed,km120_Gradient,km120_GC_prov_position,km120_GC_prov_delay,km120_GC_riding_time,km110_Group,km110_Position,km110_Elapsed_time,km110_Gap_to_previous_group,km110_Average_speed,km110_Current_speed,km110_Gradient,km110_GC_prov_position,km110_GC_prov_delay,km110_GC_riding_time,km100_Group,km100_Position,km100_Elapsed_time,km100_Gap_to_previous_group,km100_Average_speed,km100_Current_speed,km100_Gradient,km100_GC_prov_position,km100_GC_prov_delay,km100_GC_riding_time,km90_Group,km90_Position,km90_Elapsed_time,km90_Gap_to_previous_group,km90_Average_speed,km90_Current_speed,km90_Gradient,km90_GC_prov_position,km90_GC_prov_delay,km90_GC_riding_time,km80_Group,km80_Position,km80_Elapsed_time,km80_Gap_to_previous_group,km80_Average_speed,km80_Current_speed,km80_Gradient,km80_GC_prov_position,km80_GC_prov_delay,km80_GC_riding_time,km70_Group,km70_Position,km70_Elapsed_time,km70_Gap_to_previous_group,km70_Average_speed,km70_Current_speed,km70_Gradient,km70_GC_prov_position,km70_GC_prov_delay,km70_GC_riding_time,km60_Group,km60_Position,km60_Elapsed_time,km60_Gap_to_previous_group,km60_Average_speed,km60_Current_speed,km60_Gradient,km60_GC_prov_position,km60_GC_prov_delay,km60_GC_riding_time,km50_Group,km50_Position,km50_Elapsed_time,km50_Gap_to_previous_group,km50_Average_speed,km50_Current_speed,km50_Gradient,km50_GC_prov_position,km50_GC_prov_delay,km50_GC_riding_time,km40_Group,km40_Position,km40_Elapsed_time,km40_Gap_to_previous_group,km40_Average_speed,km40_Current_speed,km40_Gradient,km40_GC_prov_position,km40_GC_prov_delay,km40_GC_riding_time,km30_Group,km30_Position,km30_Elapsed_time,km30_Gap_to_previous_group,km30_Average_speed,km30_Current_speed,km30_Gradient,km30_GC_prov_position,km30_GC_prov_delay,km30_GC_riding_time,km20_Group,km20_Position,km20_Elapsed_time,km20_Gap_to_previous_group,km20_Average_speed,km20_Current_speed,km20_Gradient,km20_GC_prov_position,km20_GC_prov_delay,km20_GC_riding_time,km15_Group,km15_Position,km15_Elapsed_time,km15_Gap_to_previous_group,km15_Average_speed,km15_Current_speed,km15_Gradient,km15_GC_prov_position,km15_GC_prov_delay,km15_GC_riding_time,km10_Group,km10_Position,km10_Elapsed_time,km10_Gap_to_previous_group,km10_Average_speed,km10_Current_speed,km10_Gradient,km10_GC_prov_position,km10_GC_prov_delay,km10_GC_riding_time,km5_Group,km5_Position,km5_Elapsed_time,km5_Gap_to_previous_group,km5_Average_speed,km5_Current_speed,km5_Gradient,km5_GC_prov_position,km5_GC_prov_delay,km5_GC_riding_time,km0_Group,km0_Position,km0_Elapsed_time,km0_Gap_to_previous_group,km0_Average_speed,km0_Current_speed,km0_Gradient,km0_GC_prov_position,km0_GC_prov_delay,km0_GC_riding_time
T. PHINNEY,15,EFD,no,132,73h 41' 19'',3:07:08,03h 46' 50'',Main group,11,+0'00'',+0'00'',0 km/h,0 km/h,0%,132,3:07:08,73:41:19,Main group,102,+0'00'',+0'00'',21.54 km/h,25.31 km,6%,131,3:07:08,73:43:20,Main group,36,+0'00'',+0'00'',55.76 km/h,56.52 km,-,131,3:07:08,73:54:12,Main group,55,+0'19'',+0'19'',55.80 km/h,44.86 km,-,131,3:07:08,74:06:11,Main group,108,+1'37'',+1'37'',43.55 km/h,46.51 km,-,131,3:07:08,74:18:51,Main group,132,+1'04'',+1'04'',39.23 km/h,42.26 km,-,131,3:07:08,74:33:43,Main group,139,+1'37'',+1'37'',45.54 km/h,50.18 km,-,131,3:07:08,74:46:51,Main group,126,+1'21'',+1'21'',46.63 km/h,40.90 km,-,131,3:07:08,75:01:58,Main group,113,+0'58'',+0'31'',53.29 km/h,58.39 km,-1%,130,3:07:08,75:17:14,Main group,143,+2'06'',+2'06'',39.99 km/h,37.76 km,-,130,3:07:08,75:30:45,Main group,71,+1'29'',+1'29'',34.13 km/h,69.05 km,-10%,130,3:07:08,75:45:49,Main group,139,+1'38'',+1'38'',36.84 km/h,36.76 km,2%,130,3:07:08,76:01:42,Main group,133,+1'26'',+1'26'',42.44 km/h,24.55 km,5%,130,3:07:08,76:15:23,Main group,138,+1'15'',+1'15'',42.56 km/h,48.20 km,-,130,3:07:08,76:30:15,Main group,138,+0'50'',+0'50'',37.47 km/h,49.14 km,-,130,3:07:08,76:42:55,Main group,67,+0'40'',+0'40'',50.69 km/h,68.83 km,-5%,130,3:07:08,76:54:52,Main group,48,+0'25'',+0'25'',49.91 km/h,36.04 km,2%,130,3:07:08,77:05:04,Main group,88,+0'00'',+0'00'',43.56 km/h,51.52 km,2%,130,3:07:08,77:12:06,Main group,13,+0'00'',+0'00'',52.08 km/h,65.27 km,-7%,130,3:07:08,77:18:01,Main group,18,+0'00'',+0'00'',54.96 km/h,57.49 km,-1%,130,3:07:08,77:22:40,Main group,9,+0'00'',-,-,-,-,131,3:07:08,77:28:09
P. ROLLAND,16,EFD,no,30,71h 19' 58'',0:45:47,03h 48' 09'',Main group,12,+0'00'',+0'00'',0 km/h,0 km/h,0%,30,0:45:47,71:19:58,Main group,49,+0'00'',+0'00'',21.40 km/h,26.14 km,7%,30,0:45:47,71:21:59,Main group,121,+0'00'',+0'00'',55.64 km/h,56.48 km,-1%,30,0:45:47,71:32:51,Main group,90,+0'19'',+0'19'',56.02 km/h,54.11 km,-,30,0:45:47,71:44:50,Main group,101,+1'37'',+1'37'',43.56 km/h,44.75 km,-,30,0:45:47,71:57:30,Main group,67,+1'04'',+1'04'',39.16 km/h,43.45 km,-,30,0:45:47,72:12:22,Main group,51,+1'37'',+1'37'',44.81 km/h,48.46 km,-1%,30,0:45:47,72:25:30,Main group,115,+1'21'',+1'21'',45.78 km/h,42.08 km,-,30,0:45:47,72:40:37,Back of the race,144,+2'14'',+1'16'',45.28 km/h,33.30 km,-4%,29,0:47:03,72:57:09,Main group,142,+2'06'',+2'06'',45.41 km/h,41.72 km,-,29,0:45:47,73:09:24,Back of the race,144,+2'50'',+0'31'',35.98 km/h,36.25 km,-1%,29,0:47:08,73:25:49,Back of the race,143,+2'19'',+0'41'',35.48 km/h,26.50 km,5%,29,0:46:28,73:41:02,Stragglers,143,+2'20'',+0'14'',43.50 km/h,10.55 km,2%,29,0:46:41,73:54:56,Main group,139,+1'15'',+1'15'',45.46 km/h,47.45 km,-,29,0:45:47,74:08:54,Stragglers,143,+1'53'',+1'03'',37.56 km/h,53.60 km,1%,29,0:46:50,74:22:37,Stragglers,143,+1'32'',+0'52'',47.63 km/h,43.31 km,2%,29,0:46:39,74:34:23,Stragglers,142,+1'06'',+0'41'',51.15 km/h,41.83 km,1%,29,0:46:28,74:44:24,Stragglers,142,+0'56'',+0'56'',42.27 km/h,61.31 km,-1%,29,0:46:43,74:51:41,Stragglers,141,+0'52'',+0'52'',50.75 km/h,85.39 km,-7%,29,0:46:39,74:57:32,Stragglers,141,+0'47'',+0'19'',56.00 km/h,60.26 km,-1%,29,0:46:34,75:02:06,Stragglers,100,+1'19'',-,-,-,-,30,0:47:06,75:08:07
T. SCULLY,17,EFD,no,130,73h 39' 43'',3:05:32,03h 47' 53'',Main group,13,+0'00'',+0'00'',0 km/h,0 km/h,0%,130,3:05:32,73:39:43,Main group,123,+0'00'',+0'00'',21.13 km/h,25.02 km,6%,129,3:05:32,73:41:44,Main group,52,+0'00'',+0'00'',55.45 km/h,57.35 km,-,129,3:05:32,73:52:36,Main group,52,+0'19'',+0'19'',55.49 km/h,46.94 km,-,129,3:05:32,74:04:35,Main group,68,+1'37'',+1'37'',44.63 km/h,45.54 km,-,128,3:05:32,74:17:15,Main group,46,+1'04'',+1'04'',39.28 km/h,46.55 km,-,129,3:05:32,74:32:07,Main group,108,+1'37'',+1'37'',45.39 km/h,48.53 km,-,129,3:05:32,74:45:15,Main group,140,+1'21'',+1'21'',45.66 km/h,39.64 km,-,129,3:05:32,75:00:22,Main group,60,+0'58'',+0'31'',53.87 km/h,60.16 km,-1%,128,3:05:32,75:15:38,Main group,89,+2'06'',+2'06'',40.11 km/h,44.50 km,-1%,128,3:05:32,75:29:09,Main group,139,+1'29'',+1'29'',32.52 km/h,56.20 km,-6%,128,3:05:32,75:44:13,Main group,140,+1'38'',+1'38'',37.14 km/h,33.48 km,2%,128,3:05:32,76:00:06,Main group,128,+1'26'',+1'26'',42.46 km/h,23.94 km,5%,128,3:05:32,76:13:47,Main group,95,+1'15'',+1'15'',42.74 km/h,45.18 km,-,128,3:05:32,76:28:39,Main group,84,+0'50'',+0'50'',38.09 km/h,50.80 km,-,128,3:05:32,76:41:19,Main group,55,+0'40'',+0'40'',50.89 km/h,66.82 km,-5%,128,3:05:32,76:53:16,Main group,74,+0'25'',+0'25'',49.64 km/h,36.58 km,2%,128,3:05:32,77:03:28,Main group,97,+0'00'',+0'00'',43.59 km/h,50.18 km,2%,128,3:05:32,77:10:30,Main group,26,+0'00'',+0'00'',52.10 km/h,58.79 km,-7%,128,3:05:32,77:16:25,Main group,19,+0'00'',+0'00'',54.72 km/h,56.23 km,-1%,128,3:05:32,77:21:04,Stragglers,92,+1'03'',-,-,-,-,129,3:06:35,77:27:36
S. VANMARCKE,18,EFD,no,115,73h 21' 17'',2:47:06,03h 47' 53'',Main group,14,+0'00'',+0'00'',0 km/h,0 km/h,0%,115,2:47:06,73:21:17,Main group,21,+0'00'',+0'00'',21.94 km/h,26.42 km,7%,114,2:47:06,73:23:18,Main group,15,+0'00'',+0'00'',56.00 km/h,60.55 km,-,114,2:47:06,73:34:10,Main group,6,+0'19'',+0'19'',56.10 km/h,57.31 km,-,114,2:47:06,73:46:09,Main group,98,+1'37'',+1'37'',43.75 km/h,45.47 km,-,114,2:47:06,73:58:49,Main group,72,+1'04'',+1'04'',40.51 km/h,44.39 km,-,114,2:47:06,74:13:41,Main group,64,+1'37'',+1'37'',45.12 km/h,50.65 km,-1%,114,2:47:06,74:26:49,Main group,106,+1'21'',+1'21'',46.37 km/h,38.52 km,-,114,2:47:06,74:41:56,Group 1,7,+0'27'',+0'27'',55.06 km/h,49.43 km,-,113,2:46:35,74:56:41,Main group,136,+2'06'',+2'06'',39.44 km/h,43.78 km,-,113,2:47:06,75:10:43,Main group,122,+1'29'',+1'29'',33.27 km/h,56.27 km,-6%,113,2:47:06,75:25:47,Main group,133,+1'38'',+1'38'',37.20 km/h,35.21 km,1%,113,2:47:06,75:41:40,Main group,84,+1'26'',+1'26'',42.20 km/h,20.99 km,5%,113,2:47:06,75:55:21,Main group,61,+1'15'',+1'15'',43.25 km/h,46.73 km,-,113,2:47:06,76:10:13,Main group,79,+0'50'',+0'50'',38.25 km/h,52.70 km,-,113,2:47:06,76:22:53,Main group,64,+0'40'',+0'40'',50.76 km/h,69.30 km,-5%,113,2:47:06,76:34:50,Main group,77,+0'25'',+0'25'',49.97 km/h,36.65 km,2%,113,2:47:06,76:45:02,Main group,80,+0'00'',+0'00'',43.91 km/h,50.11 km,2%,113,2:47:06,76:52:04,Main group,34,+0'00'',+0'00'',52.24 km/h,61.70 km,-7%,113,2:47:06,76:57:59,Main group,8,+0'00'',+0'00'',54.61 km/h,54.07 km,-1%,113,2:47:06,77:02:38,Stragglers,94,+1'03'',-,-,-,-,115,2:48:09,77:09:10
R. BARDET,21,ALM,no,8,70h 39' 24'',0:05:13,03h 46' 50'',Main group,15,+0'00'',+0'00'',0 km/h,0 km/h,0%,8,0:05:13,70:39:24,Main group,78,+0'00'',+0'00'',21.72 km/h,25.06 km,7%,8,0:05:13,70:41:25,Main group,104,+0'00'',+0'00'',55.76 km/h,55.84 km,-1%,8,0:05:13,70:52:17,Main group,48,+0'19'',+0'19'',55.47 km/h,45.14 km,-,8,0:05:13,71:04:16,Main group,58,+1'37'',+1'37'',44.41 km/h,49.00 km,-,8,0:05:13,71:16:56,Main group,62,+1'04'',+1'04'',38.34 km/h,47.30 km,-,8,0:05:13,71:31:48,Back of the race,144,+2'11'',+0'34'',40.75 km/h,53.93 km,-1%,8,0:05:47,71:45:30,Main group,120,+1'21'',+1'21'',46.55 km/h,41.90 km,-,8,0:05:13,72:00:03,Main group,52,+0'58'',+0'31'',52.76 km/h,59.94 km,-1%,7,0:05:13,72:15:19,Main group,56,+2'06'',+2'06'',40.12 km/h,44.42 km,-1%,7,0:05:13,72:28:50,Main group,60,+1'29'',+1'29'',35.02 km/h,64.48 km,-9%,7,0:05:13,72:43:54,Main group,80,+1'38'',+1'38'',37.49 km/h,39.42 km,-,7,0:05:13,72:59:47,Main group,81,+1'26'',+1'26'',41.98 km/h,23.08 km,5%,7,0:05:13,73:13:28,Main group,62,+1'15'',+1'15'',42.83 km/h,44.17 km,-,7,0:05:13,73:28:20,Main group,72,+0'50'',+0'50'',37.67 km/h,51.41 km,-,7,0:05:13,73:41:00,Main group,83,+0'40'',+0'40'',50.90 km/h,67.86 km,-5%,7,0:05:13,73:52:57,Main group,88,+0'25'',+0'25'',50.04 km/h,35.42 km,2%,7,0:05:13,74:03:09,Main group,52,+0'00'',+0'00'',43.80 km/h,51.73 km,2%,7,0:05:13,74:10:11,Main group,51,+0'00'',+0'00'',50.64 km/h,61.52 km,-7%,7,0:05:13,74:16:06,Main group,68,+0'00'',+0'00'',54.20 km/h,47.74 km,-1%,7,0:05:13,74:20:45,Main group,38,+0'00'',-,-,-,-,8,0:05:13,74:26:14
S. DILLIER,22,ALM,no,85,72h 50' 37'',2:16:26,03h 46' 50'',Main group,16,+0'00'',+0'00'',0 km/h,0 km/h,0%,85,2:16:26,72:50:37,Main group,81,+0'00'',+0'00'',21.15 km/h,26.10 km,7%,85,2:16:26,72:52:38,Main group,48,+0'00'',+0'00'',55.99 km/h,56.34 km,-,85,2:16:26,73:03:30,Main group,64,+0'19'',+0'19'',55.03 km/h,47.34 km,-,85,2:16:26,73:15:29,Main group,9,+1'37'',+1'37'',44.99 km/h,49.14 km,-,85,2:16:26,73:28:09,Main group,19,+1'04'',+1'04'',38.42 km/h,43.49 km,-,85,2:16:26,73:43:01,Main group,71,+1'37'',+1'37'',45.35 km/h,50.11 km,-1%,85,2:16:26,73:56:09,Main group,144,+1'21'',+1'21'',43.88 km/h,32.58 km,-,85,2:16:26,74:11:16,Main group,97,+0'58'',+0'31'',53.53 km/h,59.72 km,-1%,84,2:16:26,74:26:32,Main group,109,+2'06'',+2'06'',39.91 km/h,42.30 km,-,84,2:16:26,74:40:03,Main group,98,+1'29'',+1'29'',34.21 km/h,60.88 km,-9%,84,2:16:26,74:55:07,Main group,87,+1'38'',+1'38'',38.10 km/h,38.12 km,-,84,2:16:26,75:11:00,Main group,78,+1'26'',+1'26'',42.49 km/h,22.72 km,5%,84,2:16:26,75:24:41,Main group,68,+1'15'',+1'15'',43.02 km/h,44.82 km,-,84,2:16:26,75:39:33,Main group,74,+0'50'',+0'50'',38.09 km/h,53.46 km,-,84,2:16:26,75:52:13,Main group,77,+0'40'',+0'40'',50.66 km/h,68.47 km,-5%,84,2:16:26,76:04:10,Main group,85,+0'25'',+0'25'',49.77 km/h,36.86 km,2%,84,2:16:26,76:14:22,Main group,76,+0'00'',+0'00'',43.88 km/h,51.37 km,2%,84,2:16:26,76:21:24,Main group,39,+0'00'',+0'00'',51.24 km/h,57.13 km,-7%,84,2:16:26,76:27:19,Main group,59,+0'00'',+0'00'',54.47 km/h,46.84 km,-1%,84,2:16:26,76:31:58,Main group,54,+0'00'',-,-,-,-,82,2:16:26,76:37:27
M. FRANK,24,ALM,no,48,72h 05' 53'',1:31:42,03h 46' 50'',Main group,17,+0'00'',+0'00'',0 km/h,0 km/h,0%,48,1:31:42,72:05:53,Main group,86,+0'00'',+0'00'',21.21 km/h,24.91 km,7%,48,1:31:42,72:07:54,Main group,106,+0'00'',+0'00'',55.79 km/h,58.36 km,-1%,48,1:31:42,72:18:46,Main group,41,+0'19'',+0'19'',55.27 km/h,48.06 km,-,48,1:31:42,72:30:45,Back of the race,129,+2'13'',+0'36'',40.11 km/h,48.71 km,-,48,1:32:18,72:44:01,Main group,71,+1'04'',+1'04'',38.66 km/h,42.48 km,-,48,1:31:42,72:58:17,Back of the race,145,+2'11'',+0'34'',40.52 km/h,54.36 km,-1%,48,1:32:16,73:11:59,Main group,124,+1'21'',+1'21'',46.21 km/h,40.64 km,-,48,1:31:42,73:26:32,Main group,91,+0'58'',+0'31'',54.06 km/h,59.90 km,-1%,47,1:31:42,73:41:48,Main group,39,+2'06'',+2'06'',40.40 km/h,46.91 km,-1%,47,1:31:42,73:55:19,Main group,85,+1'29'',+1'29'',33.46 km/h,66.17 km,-9%,47,1:31:42,74:10:23,Main group,75,+1'38'',+1'38'',36.67 km/h,39.78 km,-,47,1:31:42,74:26:16,Main group,115,+1'26'',+1'26'',42.16 km/h,23.36 km,5%,47,1:31:42,74:39:57,Main group,85,+1'15'',+1'15'',43.23 km/h,44.68 km,-,47,1:31:42,74:54:49,Main group,100,+0'50'',+0'50'',37.66 km/h,49.57 km,-,47,1:31:42,75:07:29,Main group,131,+0'40'',+0'40'',49.72 km/h,66.49 km,-5%,47,1:31:42,75:19:26,Main group,92,+0'25'',+0'25'',50.08 km/h,36.18 km,2%,47,1:31:42,75:29:38,Main group,77,+0'00'',+0'00'',43.57 km/h,49.61 km,2%,47,1:31:42,75:36:40,Main group,78,+0'00'',+0'00'',50.32 km/h,70.49 km,-7%,47,1:31:42,75:42:35,Main group,84,+0'00'',+0'00'',54.97 km/h,46.01 km,-1%,47,1:31:42,75:47:14,Main group,78,+0'00'',-,-,-,-,48,1:31:42,75:52:43
P. LATOUR,26,ALM,Youth,14,70h 50' 14'',0:16:03,03h 46' 50'',Main group,18,+0'00'',+0'00'',0 km/h,0 km/h,0%,14,0:16:03,70:50:14,Main group,87,+0'00'',+0'00'',21.54 km/h,25.85 km,7%,14,0:16:03,70:52:15,Main group,86,+0'00'',+0'00'',55.88 km/h,58.28 km,-1%,14,0:16:03,71:03:07,Main group,108,+0'19'',+0'19'',55.63 km/h,53.57 km,-,14,0:16:03,71:15:06,Main group,118,+1'37'',+1'37'',42.51 km/h,45.04 km,-,14,0:16:03,71:27:46,Main group,80,+1'04'',+1'04'',38.95 km/h,41.87 km,-,14,0:16:03,71:42:38,Main group,111,+1'37'',+1'37'',45.00 km/h,50.40 km,-,14,0:16:03,71:55:46,Main group,134,+1'21'',+1'21'',46.13 km/h,38.38 km,-,14,0:16:03,72:10:53,Main group,126,+0'58'',+0'31'',52.78 km/h,58.57 km,-1%,13,0:16:03,72:26:09,Main group,120,+2'06'',+2'06'',46.83 km/h,43.13 km,-,13,0:16:03,72:39:40,Main group,94,+1'29'',+1'29'',33.45 km/h,61.78 km,-9%,13,0:16:03,72:54:44,Main group,117,+1'38'',+1'38'',37.11 km/h,40.32 km,1%,13,0:16:03,73:10:37,Stragglers,142,+2'06'',+0'40'',40.34 km/h,38.05 km,2%,13,0:16:43,73:24:58,Back of the race,144,+2'01'',+0'38'',38.20 km/h,38.72 km,7%,13,0:16:49,73:39:56,Back of the race,144,+2'01'',+0'38'',38.20 km/h,38.72 km,7%,13,0:17:14,73:53:01,Back of the race,144,+2'01'',+0'38'',38.20 km/h,38.72 km,7%,13,0:17:24,74:05:08,Back of the race,144,+2'01'',+0'38'',38.20 km/h,38.72 km,7%,13,0:17:39,74:15:35,Back of the race,144,+2'01'',+0'38'',38.20 km/h,38.72 km,7%,13,0:18:04,74:23:02,Back of the race,144,+2'01'',+0'38'',38.20 km/h,38.72 km,7%,13,0:18:04,74:28:57,Back of the race,144,+2'01'',+0'38'',38.20 km/h,38.72 km,7%,13,0:18:04,74:33:36,Main group,43,+0'00'',-,-,-,-,14,0:16:03,74:37:04
O. NAESEN,27,ALM,no,66,72h 26' 54'',1:52:43,03h 46' 50'',Main group,19,+0'00'',+0'00'',0 km/h,0 km/h,0%,66,1:52:43,72:26:54,Main group,34,+0'00'',+0'00'',21.82 km/h,26.93 km,7%,66,1:52:43,72:28:55,Main group,78,+0'00'',+0'00'',55.35 km/h,58.03 km,-,66,1:52:43,72:39:47,Main group,24,+0'19'',+0'19'',55.93 km/h,47.27 km,-,66,1:52:43,72:51:46,Main group,15,+1'37'',+1'37'',45.16 km/h,43.16 km,-,66,1:52:43,73:04:26,Main group,120,+1'04'',+1'04'',40.68 km/h,46.22 km,-,66,1:52:43,73:19:18,Main group,128,+1'37'',+1'37'',45.53 km/h,50.87 km,-,66,1:52:43,73:32:26,Main group,97,+1'21'',+1'21'',46.67 km/h,39.74 km,-,66,1:52:43,73:47:33,Main group,51,+0'58'',+0'31'',53.98 km/h,60.37 km,-1%,65,1:52:43,74:02:49,Main group,68,+2'06'',+2'06'',40.02 km/h,43.81 km,-1%,65,1:52:43,74:16:20,Main group,74,+1'29'',+1'29'',34.04 km/h,61.54 km,-9%,65,1:52:43,74:31:24,Main group,92,+1'38'',+1'38'',36.87 km/h,39.67 km,-,65,1:52:43,74:47:17,Main group,129,+1'26'',+1'26'',42.66 km/h,24.62 km,5%,65,1:52:43,75:00:58,Main group,132,+1'15'',+1'15'',42.79 km/h,45.68 km,-,65,1:52:43,75:15:50,Main group,94,+0'50'',+0'50'',38.06 km/h,53.32 km,-,65,1:52:43,75:28:30,Main group,71,+0'40'',+0'40'',50.75 km/h,70.02 km,-5%,65,1:52:43,75:40:27,Main group,63,+0'25'',+0'25'',49.75 km/h,36.29 km,2%,65,1:52:43,75:50:39,Main group,74,+0'00'',+0'00'',43.67 km/h,50.40 km,2%,65,1:52:43,75:57:41,Main group,57,+0'00'',+0'00'',51.29 km/h,57.28 km,-7%,65,1:52:43,76:03:36,Main group,33,+0'00'',+0'00'',54.87 km/h,51.34 km,-1%,65,1:52:43,76:08:15,Main group,13,+0'00'',-,-,-,-,65,1:52:43,76:13:44
T. DUMOULIN,32,SUN,no,2,70h 36' 10'',0:01:59,03h 46' 50'',Main group,20,+0'00'',+0'00'',0 km/h,0 km/h,0%,2,0:01:59,70:36:10,Main group,54,+0'00'',+0'00'',21.81 km/h,25.56 km,7%,2,0:01:59,70:38:11,Main group,72,+0'00'',+0'00'',56.00 km/h,58.72 km,-,2,0:01:59,70:49:03,Main group,78,+0'19'',+0'19'',55.99 km/h,47.23 km,-,2,0:01:59,71:01:02,Main group,32,+1'37'',+1'37'',44.55 km/h,42.16 km,-,2,0:01:59,71:13:42,Main group,21,+1'04'',+1'04'',38.96 km/h,44.24 km,-,2,0:01:59,71:28:34,Main group,25,+1'37'',+1'37'',44.46 km/h,47.41 km,-1%,2,0:01:59,71:41:42,Main group,30,+1'21'',+1'21'',46.68 km/h,40.43 km,1%,2,0:01:59,71:56:49,Main group,24,+0'58'',+0'31'',54.12 km/h,57.38 km,-1%,2,0:01:59,72:12:05,Main group,23,+2'06'',+2'06'',43.24 km/h,46.73 km,-1%,2,0:01:59,72:25:36,Main group,21,+1'29'',+1'29'',34.72 km/h,77.18 km,-7%,2,0:01:59,72:40:40,Main group,15,+1'38'',+1'38'',38.39 km/h,42.08 km,1%,2,0:01:59,72:56:33,Main group,21,+1'26'',+1'26'',41.66 km/h,19.94 km,5%,2,0:01:59,73:10:14,Main group,27,+1'15'',+1'15'',42.88 km/h,42.44 km,-,2,0:01:59,73:25:06,Main group,34,+0'50'',+0'50'',39.14 km/h,42.16 km,1%,2,0:01:59,73:37:46,Main group,49,+0'40'',+0'40'',50.64 km/h,68.11 km,-5%,2,0:01:59,73:49:43,Main group,56,+0'25'',+0'25'',50.12 km/h,35.39 km,2%,2,0:01:59,73:59:55,Main group,31,+0'00'',+0'00'',44.07 km/h,46.84 km,1%,2,0:01:59,74:06:57,Main group,52,+0'00'',+0'00'',51.16 km/h,55.01 km,-7%,2,0:01:59,74:12:52,Main group,60,+0'00'',+0'00'',54.65 km/h,46.51 km,-1%,2,0:01:59,74:17:31,Main group,27,+0'00'',-,-,-,-,2,0:01:59,74:23:00
N. ARNDT,33,SUN,no,70,72h 32' 44'',1:58:33,03h 46' 50'',Main group,21,+0'00'',+0'00'',0 km/h,0 km/h,0%,70,1:58:33,72:32:44,Main group,141,+0'00'',+0'00'',21.34 km/h,23.08 km,6%,70,1:58:33,72:34:45,Main group,73,+0'00'',+0'00'',55.97 km/h,58.90 km,-,70,1:58:33,72:45:37,Main group,95,+0'19'',+0'19'',56.15 km/h,52.42 km,-,70,1:58:33,72:57:36,Main group,40,+1'37'',+1'37'',44.70 km/h,40.39 km,-,70,1:58:33,73:10:16,Main group,22,+1'04'',+1'04'',37.90 km/h,42.26 km,-,70,1:58:33,73:25:08,Main group,33,+1'37'',+1'37'',45.02 km/h,45.61 km,-1%,70,1:58:33,73:38:16,Main group,27,+1'21'',+1'21'',46.64 km/h,41.47 km,1%,70,1:58:33,73:53:23,Main group,108,+0'58'',+0'31'',52.70 km/h,60.55 km,-1%,69,1:58:33,74:08:39,Main group,33,+2'06'',+2'06'',45.11 km/h,46.19 km,-1%,69,1:58:33,74:22:10,Main group,106,+1'29'',+1'29'',32.38 km/h,63.54 km,-9%,69,1:58:33,74:37:14,Main group,25,+1'38'',+1'38'',38.03 km/h,42.95 km,1%,69,1:58:33,74:53:07,Main group,35,+1'26'',+1'26'',41.52 km/h,19.58 km,5%,69,1:58:33,75:06:48,Main group,21,+1'15'',+1'15'',42.64 km/h,41.47 km,-,69,1:58:33,75:21:40,Main group,50,+0'50'',+0'50'',38.80 km/h,46.48 km,1%,69,1:58:33,75:34:20,Main group,59,+0'40'',+0'40'',50.75 km/h,70.85 km,-5%,69,1:58:33,75:46:17,Main group,47,+0'25'',+0'25'',49.82 km/h,36.94 km,2%,69,1:58:33,75:56:29,Main group,101,+0'00'',+0'00'',43.19 km/h,50.47 km,2%,69,1:58:33,76:03:31,Main group,64,+0'00'',+0'00'',51.58 km/h,61.63 km,-7%,69,1:58:33,76:09:26,Main group,36,+0'00'',+0'00'',55.11 km/h,50.15 km,-1%,69,1:58:33,76:14:05,Main group,64,+0'00'',-,-,-,-,70,1:58:33,76:19:34
